"","game_id","home","away","lead_change_count","explosive_play_delta","win_prob_volatility"
"4427",401426492,"Bryant","Rhode Island",1,6,0.197540738688784
"4428",401426530,"Florida Atlantic","Charlotte",6,3,0.212779962932506
"4429",401426531,"UTEP","North Texas",1,5,0.226288082530434
"4430",401426532,"Western Kentucky","Austin Peay",2,2,0.153758282089091
"4431",401426533,"Florida International","Bryant",4,5,0.239103657757012
"4432",401426534,"UAB","Alabama A&M",0,6,0.104971196446014
"4433",401426535,"Charlotte","William & Mary",10,4,0.174908118335125
"4434",401426536,"Ohio","Florida Atlantic",1,1,0.313229838242228
"4435",401426537,"Missouri","Louisiana Tech",1,13,0.217436366712328
"4436",401426538,"James Madison","Middle Tennessee",0,12,0.187991916233606
"4437",401426539,"North Texas","SMU",0,2,0.156003405606784
"4438",401426540,"USC","Rice",0,7,0.148042174072524
"4439",401426541,"Oklahoma","UTEP",0,11,0.0974772250028043
"4440",401426542,"UTSA","Houston",0,3,0.278667047392389
"4441",401426543,"Hawai'i","Western Kentucky",1,3,0.245669710518424
"4442",401426544,"Texas State","Florida International",0,4,0.154542023552857
"4443",401426545,"Charlotte","Maryland",0,7,0.35148502793671
"4444",401426546,"Florida Atlantic","SE Louisiana",4,12,0.17781021819596
"4445",401426547,"Louisiana Tech","Stephen F. Austin",0,3,0.124102660525812
"4446",401426548,"Colorado State","Middle Tennessee",0,3,0.0770006875945348
"4447",401426549,"North Texas","Texas Southern",0,2,0.347190079709623
"4448",401426550,"Rice","McNeese",6,2,0.216393867424594
"4449",401426551,"Liberty","UAB",0,3,0.202922103443364
"4450",401426552,"UTEP","New Mexico State",2,1,0.179187552988673
"4451",401426553,"Army","UTSA",1,5,0.259627994388203
"4452",401426554,"Georgia State","Charlotte",2,2,0.201582086060367
"4453",401426555,"Florida Atlantic","UCF",6,9,0.286770526127646
"4454",401426556,"Clemson","Louisiana Tech",0,0,0.122987027871654
"4455",401426557,"Middle Tennessee","Tennessee State",0,6,0.176046889824437
"4456",401426558,"UNLV","North Texas",5,1,0.201059722432193
"4457",401426559,"Rice","Louisiana",10,3,0.20488048874878
"4458",401426560,"UAB","Georgia Southern",0,0,0.128583376684956
"4459",401426561,"New Mexico","UTEP",0,3,0.147877207237101
"4460",401426562,"Texas","UTSA",2,3,0.23500821909883
"4461",401426563,"Indiana","Western Kentucky",5,5,0.205638075748943
"4462",401426564,"South Carolina","Charlotte",4,8,0.257174892646319
"4463",401426565,"Western Kentucky","Florida International",0,15,0.169193449017319
"4464",401426566,"Purdue","Florida Atlantic",2,3,0.170289786539051
"4465",401426567,"South Alabama","Louisiana Tech",0,4,0.18082911284253
"4466",401426568,"Miami","Middle Tennessee",0,0,0.121945584577241
"4467",401426569,"Memphis","North Texas",3,8,0.224442355521521
"4468",401426570,"Houston","Rice",3,4,0.20047551555142
"4469",401426571,"UTEP","Boise State",1,3,0.216445190132912
"4470",401426572,"UTSA","Texas Southern",0,2,0.144818553668089
"4471",401426573,"Charlotte","UTEP",0,4,0.248369039813302
"4472",401426574,"New Mexico State","Florida International",0,3,0.163895678757937
"4473",401426575,"North Texas","Florida Atlantic",0,1,0.176914578894555
"4474",401426576,"Middle Tennessee","UTSA",0,3,0.134594716999155
"4475",401426577,"Rice","UAB",3,2,0.221607872134963
"4476",401426578,"Western Kentucky","Troy",2,1,0.212426006184345
"4477",401426579,"Florida International","UConn",0,2,0.155053239758508
"4478",401426580,"Louisiana Tech","UTEP",0,5,0.086876757008659
"4479",401426581,"UAB","Middle Tennessee",0,4,0.0847411607081478
"4480",401426582,"UTSA","Western Kentucky",0,3,0.213110237192982
"4481",401426583,"UAB","Charlotte",3,6,0.239882502400661
"4482",401426584,"Florida International","UTSA",0,1,0.198465245946103
"4483",401426585,"Florida Atlantic","Rice",1,1,0.222720409425136
"4484",401426586,"North Texas","Louisiana Tech",0,7,0.118015183791793
"4485",401426587,"Middle Tennessee","Western Kentucky",0,6,0.26125507918467
"4486",401426588,"Charlotte","Florida International",0,3,0.086282377818999
"4487",401426589,"UTEP","Florida Atlantic",1,1,0.171765995748322
"4488",401426590,"Louisiana Tech","Rice",1,2,0.243200700329857
"4489",401426591,"UTSA","North Texas",9,2,0.131338826381285
"4490",401426592,"Western Kentucky","UAB",1,4,0.233223487559337
"4491",401426593,"Rice","Charlotte",1,8,0.291040283969
"4492",401426594,"Florida International","Louisiana Tech",1,3,0.203357457063513
"4493",401426595,"Florida Atlantic","UAB",2,2,0.229644549513186
"4494",401426596,"UTEP","Middle Tennessee",0,1,0.140329967162888
"4495",401426597,"Western Kentucky","North Texas",0,0,0.261183252072769
"4496",401426598,"Charlotte","Western Kentucky",0,6,0.0694810457611334
"4497",401426599,"North Texas","Florida International",0,9,0.0753692120736333
"4498",401426600,"Louisiana Tech","Middle Tennessee",0,2,0.202789798047277
"4499",401426601,"Rice","UTEP",1,6,0.16105507294065
"4500",401426602,"UAB","UTSA",2,2,0.142633818693693
"4501",401426603,"Middle Tennessee","Charlotte",0,1,0.215118665014325
"4502",401426604,"Florida International","Florida Atlantic",0,7,0.0807119103055117
"4503",401426605,"UTSA","Louisiana Tech",0,3,0.121063312193617
"4504",401426606,"UAB","North Texas",3,7,0.274005289341327
"4505",401426607,"Western Kentucky","Rice",0,6,0.133875681851336
"4506",401426608,"Charlotte","Louisiana Tech",2,2,0.189864817273759
"4507",401426609,"UTEP","Florida International",12,4,0.208338580942377
"4508",401426610,"Middle Tennessee","Florida Atlantic",0,6,0.16344140112254
"4509",401426611,"Rice","UTSA",0,6,0.127629853071306
"4510",401426612,"LSU","UAB",0,9,0.153962733398612
"4511",401426613,"Auburn","Western Kentucky",0,0,0.16022342294286
"4512",401426614,"Florida International","Middle Tennessee",2,5,0.172375257419862
"4513",401426615,"Florida Atlantic","Western Kentucky",1,1,0.193092736561546
"4514",401426616,"Louisiana Tech","UAB",1,1,0.225217672948163
"4515",401426617,"North Texas","Rice",1,1,0.15043952062517
"4516",401426618,"UTSA","UTEP",0,2,0.249789065554202
"4517",401426670,"Central Arkansas","Lindenwood",1,1,0.118637647496239
"4518",401428190,"Portland State","Weber State",0,7,0.110424864715371
"4519",401428191,"Campbell","Charleston Southern",0,2,0.106228011801043
"4520",401428195,"Campbell","Gardner-Webb",6,0,0.218864723215893
"4521",401428197,"Bryant","Charleston Southern",1,7,0.17625123016804
"4522",401428198,"Charleston Southern","Gardner-Webb",1,12,0.209932553675969
"4523",401428199,"Charleston Southern","Robert Morris",0,1,0.120546577043257
"4524",401428201,"Robert Morris","Gardner-Webb",0,9,0.13496126400888
"4525",401428220,"Gardner-Webb","Bryant",0,3,0.236185446954164
"4526",401428221,"Gardner-Webb","North Carolina A&T",5,3,0.231007016187192
"4527",401428383,"Delaware State","Robert Morris",0,4,0.183935420947613
"4528",401428459,"Robert Morris","North Carolina A&T",0,11,0.120510079197221
"4529",401428473,"Murray State","Robert Morris",2,10,0.155214681768997
"4530",401428474,"Robert Morris","Bryant",0,6,0.202693906520031
"4531",401428478,"UT Martin","Tennessee Tech",0,3,0.253412087599622
"4532",401428479,"Tennessee Tech","Lindenwood",0,3,0.184551382786086
"4533",401428480,"Wagner","Fordham",4,2,0.230416553738588
"4534",401428481,"Fordham","Georgetown",8,8,0.305094134241698
"4535",401428482,"Fordham","Colgate",4,0,0.16510132839832
"4536",401428484,"St. Thomas (MN)","Michigan Tech",4,0,0.208590155771852
"4537",401428485,"St. Thomas (MN)","Lincoln (CA)",6,2,0.152316274373658
"4538",401428486,"Marist","St. Thomas (MN)",0,5,0.142030027359344
"4539",401428487,"Presbyterian","St. Thomas (MN)",1,6,0.301143608763601
"4540",401431402,"Yale","Princeton",0,5,0.216578491221261
"4541",401431403,"Marist","Georgetown",1,1,0.207518389247926
"4542",401431405,"Presbyterian","Virginia University Of Lynchburg",0,2,0.25258432230453
"4543",401431407,"Presbyterian","Dayton",0,1,0.126054663309365
"4544",401431508,"Lindenwood","McKendree",20,9,0.248840678919027
"4545",401431610,"Weber State","Western Oregon",5,1,0.175804240969667
"4546",401431900,"East Texas A&M","North American University",1,8,0.168694650491677
"4547",401432189,"San Diego","La Verne",0,9,0.161337278744884
"4548",401432238,"Portland State","Lincoln (CA)",0,9,0.159300785260096
"4549",401432239,"Gardner-Webb","Limestone",0,9,0.119505201570357
"4550",401432241,"Duquesne","Merrimack",0,0,0.241620853667138
